Name,op_phase_manual,WKT_geom
Colon2000,Berth,"POLYGON ((-79.89346263170341 9.363204893766417, -79.8929261321469 9.35919742586585, -79.8906287613123 9.3551596577015, -79.8878617728865 9.35525776630378, -79.88921494947992 9.359162739142054, -79.8921791467945 9.363730183782954, -79.89346263170341 9.363204893766417))"
Panama Canal - Pacific to Atlantic,Manoeuvring,"POLYGON ((-79.5878603955509 8.99066834657657, -79.590582177952 8.99332236350015, -79.5926772446463 8.99533353942285, -79.5976483770305 9.00009327950747, -79.5989030488673 9.00562197597886, -79.5994592404956 9.00645751361707, -79.6021725021712 9.0091837559508, -79.6025015436523 9.0103220734436, -79.6037944369799 9.01289457005288, -79.6047586475248 9.01445481245897, -79.6077333913658 9.01652188721811, -79.607170170149 9.01437878320649, -79.605899745564 9.01255784381738, -79.6094629723388 9.01214213635091, -79.6119496421719 9.01447092935551, -79.6130182153425 9.01544757850042, -79.6189082500736 9.02031881573086, -79.6214870576578 9.02463340272116, -79.6219917120361 9.02491193533707, -79.6223849070632 9.02511127004265, -79.6230959007553 9.02538052662151, -79.6246915910413 9.02677279475078, -79.6302652717595 9.02931573859199, -79.6333647196668 9.03181303898807, -79.6339349998237 9.03242962252557, -79.6348244283541 9.03319138501453, -79.6363509944005 9.03455545286637, -79.6385890702953 9.03618540978734, -79.6410976144984 9.03845653746186, -79.6417905537473 9.03901063644452, -79.6423895143793 9.03960119346095, -79.6452608347697 9.04272893651883, -79.6460731393585 9.04446010829316, -79.6479771971707 9.04688305396808, -79.6495057484926 9.04900110019748, -79.6512654360796 9.05176811303626, -79.6537169875801 9.05532267368322, -79.6559310110042 9.05760289685834, -79.6567851793659 9.05846669815193, -79.6574804853941 9.05895664661061, -79.658417558807 9.05952731443052, -79.6593445848625 9.06019954856736, -79.6615580464122 9.06181742445373, -79.6632324396466 9.06295703561769, -79.6655654153652 9.06485696686971, -79.6679395050798 9.06728468763359, -79.6692045698598 9.06861748029176, -79.6701213910163 9.06971498823611, -79.6704406879566 9.07034964761681, -79.6709022339314 9.07101003585455, -79.6715171024688 9.07182049324231, -79.6718142259331 9.07243562075897, -79.6722231721159 9.07324836114255, -79.6725365047731 9.07410089523898, -79.6730277308172 9.07545416235168, -79.6739421038728 9.07802771329415, -79.6753731693075 9.08139402360467, -79.6760169621717 9.08286862286995, -79.6765663050171 9.08438136482009, -79.6773762433615 9.08559428970678, -79.6779690837734 9.08740965614649, -79.6790155089582 9.08874580642925, -79.6794864491427 9.08934769388653, -79.6799827387084 9.09036981875428, -79.6805550005319 9.09159397906583, -79.6811277172015 9.09270870235778, -79.6838223626068 9.0975829304374, -79.6864167159385 9.10187523346717, -79.6872343931589 9.10347710960062, -79.6880195943753 9.10507058274113, -79.6893953475857 9.10735562266792, -79.6902607463632 9.10872197640477, -79.69335436124 9.11054913607678, -79.6961594759088 9.11302498487578, -79.6978010833501 9.11347004706755, -79.6995556686338 9.11449070427131, -79.7018098942282 9.11584510280048, -79.7032728482858 9.11703008740202, -79.704172065355 9.11746892136647, -79.7051594569275 9.11781658960103, -79.7059233400643 9.11797854567298, -79.7082168551997 9.11793511212778, -79.7089278198355 9.11762086044354, -79.7094055332745 9.11645328950754, -79.7096875403541 9.11650717740216, -79.7098224294878 9.11654667026998, -79.7099857861292 9.11659911565202, -79.7102798274471 9.11666164639809, -79.7106606628368 9.11677268728958, -79.7108924134054 9.11681696350213, -79.7110823154103 9.11684318565665, -79.7112415881822 9.1168492366453, -79.7114253648168 9.11685125332298, -79.7117348442682 9.1168868230893, -79.7120619539088 9.11693472573447, -79.7138264451088 9.11779021345794, -79.71577424579 9.11842884764858, -79.7195756527444 9.12117420227347, -79.7231571640416 9.12116748330836, -79.7277587979292 9.12093866603636, -79.7290270997543 9.12096429855393, -79.7301349554508 9.12100164540172, -79.7366078348568 9.12227194758436, -79.7390363131814 9.12236489927049, -79.7402799847597 9.1223424733903, -79.7419493255226 9.12276613867484, -79.7444905487936 9.12306910548094, -79.7468371111124 9.12317750211812, -79.7493741341834 9.1232882267258, -79.7515903597055 9.12309844503405, -79.7530944981567 9.12290355030929, -79.7545800116534 9.12262242859046, -79.7567290250929 9.12200376498428, -79.7585630666268 9.12118832399307, -79.7607884820156 9.12001598777129, -79.7626613123221 9.11891268372762, -79.7639236023867 9.11827785457985, -79.7651820987647 9.11769397105496, -79.7662394543191 9.11701704770849, -79.7679471179298 9.11672024095559, -79.7700859264324 9.11566189543026, -79.7714354271517 9.11558080241352, -79.77281613333 9.1157461316156, -79.7744290963865 9.11568770468011, -79.7782936751231 9.11578969633515, -79.7838373726982 9.11693177874832, -79.7900760553022 9.11827924731658, -79.7939997499464 9.11942661747622, -79.7953757966978 9.11997569702038, -79.7975755173681 9.12124198276169, -79.8015170762008 9.12412850195691, -79.8037174230788 9.12667119016424, -79.8060976455301 9.13159043336629, -79.8072356284349 9.13557299186933, -79.8084063270529 9.14000141822783, -79.8098443267218 9.14804772724495, -79.8105815705895 9.15202870149162, -79.8115509801742 9.15661497857996, -79.8125378801738 9.1606724010216, -79.8155429552921 9.16367355620686, -79.8190050154328 9.16661800441248, -79.8224254078417 9.16910271361983, -79.8275175406155 9.17370372002538, -79.8294740011191 9.17523067835915, -79.8312526220948 9.17640630198946, -79.8324354672415 9.17726386203428, -79.8334476285084 9.17810624893135, -79.8366201374255 9.18116123661745, -79.8397077184538 9.18416260048693, -79.8454339418457 9.18651192613695, -79.8485026687698 9.18697290717929, -79.8482518160714 9.1818767337764, -79.8434809079634 9.18074761651286, -79.8398503383534 9.17913040249772, -79.8363201677462 9.17720016247352, -79.8349051510676 9.17599287937438, -79.8338649339128 9.17512463561739, -79.8327723736889 9.17417877104486, -79.8297345243879 9.17159247190496, -79.829080589338 9.17093871135811, -79.8253926337192 9.16782589135936, -79.8242150304045 9.16696947418609, -79.8220905138615 9.16545650596283, -79.8199475870289 9.16407210984319, -79.8186211092017 9.1628100462634, -79.8188852164514 9.16118055973727, -79.8184004319006 9.15791945258315, -79.8165250283975 9.1523698304539, -79.8127030390873 9.12565634861545, -79.8061865880246 9.11916079274457, -79.8014246980424 9.11720806518692, -79.7962686723041 9.1159544843887, -79.7938817499701 9.11539338462996, -79.7928146327124 9.11485457972379, -79.7914524155691 9.1147840856323, -79.7886174406103 9.113590692467, -79.7677022050966 9.10832940135765, -79.7618533015932 9.11098015957496, -79.755774391798 9.11723470148663, -79.753926204803 9.1184385634564, -79.7524430053444 9.11892996425887, -79.7468343511276 9.119327918206, -79.7289701047546 9.11474592943264, -79.715664919204 9.11276938562112, -79.7087978927034 9.11307739074445, -79.6962863663419 9.10801642518482, -79.6895494193087 9.10204400796641, -79.683656341857 9.09182071609314, -79.6725866275777 9.06730026168534, -79.6674561384018 9.06258360935751, -79.6609787325185 9.05765182587683, -79.6445415799888 9.03689335171018, -79.6434309721092 9.03637296667268, -79.642304737631 9.03531446993535, -79.6403697785023 9.03392028914377, -79.6357336357772 9.03015404432703, -79.6347143420073 9.02951546420426, -79.6334429780031 9.02817771963393, -79.6314323052915 9.02694643126408, -79.6278617628863 9.0235730682306, -79.6266509182095 9.02281891507408, -79.6254533172887 9.02150821662277, -79.624236009673 9.02037255205571, -79.6207022224658 9.01689414293005, -79.6201849632507 9.01565931180599, -79.6101787707331 9.00619602998072, -79.6071094656628 9.00272474924139, -79.6070580356538 9.00231167025201, -79.6071055016052 9.00165895219892, -79.6045853968558 8.99799467177622, -79.600307996771 8.99356702324162, -79.601649649534 8.99633016852983, -79.5950175400853 8.99125908170653, -79.5919702722379 8.98750034024016, -79.5878603955509 8.99066834657657))"
Panama Canal - Atlantic - West Breakwater Inner Anchorage,Anchorage,"POLYGON ((-79.9461447878369 9.37395370255835, -79.9464631667394 9.36749480640555, -79.9473523015464 9.36451896738426, -79.9471066294756 9.35964886300187, -79.9444670172087 9.35792893414354, -79.9442354499571 9.3527158517492, -79.9474672287248 9.34925667024025, -79.9469322844365 9.34659344724413, -79.9475319034275 9.34230441158887, -79.9464995079028 9.33934073217596, -79.9455067672131 9.33202267277354, -79.9445832745098 9.32811100364316, -79.943722521261 9.32681671710534, -79.9464168841358 9.32451307033035, -79.9471022759382 9.31778652326543, -79.9458094867626 9.31590294245786, -79.9424516653801 9.31404352058507, -79.9376837248569 9.31343925447068, -79.9324352873061 9.31375399655383, -79.9278773001033 9.31631217492711, -79.9239728804647 9.31430906084069, -79.9202032620956 9.31307108091889, -79.9202881153785 9.31523941079068, -79.9207258136244 9.31944209364032, -79.9282026226944 9.3483275077266, -79.9287961901057 9.3514684724276, -79.9292272446947 9.35493637256942, -79.9272030771139 9.36439489551954, -79.9228952289818 9.37863419661079, -79.9217680706329 9.38220930722394, -79.9208992330528 9.38735521757885, -79.9208780845562 9.38950637783161, -79.922202169691 9.38852359821601, -79.9269133871403 9.38592357103508, -79.9461447878369 9.37395370255835))"
Panama Canal - Atlantic - East Breakwater Inner Anchorage,Anchorage,"POLYGON ((-79.912459378371 9.38716303754038, -79.9164033594368 9.38895879965686, -79.9168615874615 9.38662159306788, -79.9176501066132 9.37994023788863, -79.917720129436 9.37935224373885, -79.9178278691647 9.37548681214576, -79.9195090697692 9.35662851106438, -79.90697323195 9.35426794294639, -79.904658729271 9.35574800589276, -79.906472277048 9.36170649810559, -79.9082083006116 9.36309677906179, -79.9077934345525 9.36457122615928, -79.9027425589409 9.36708295566695, -79.8951957996496 9.36589290009631, -79.8919098291504 9.36710294548971, -79.8886771242274 9.36882091031802, -79.8890419843432 9.36959833054887, -79.8929925134162 9.37646746622267, -79.8961273757438 9.37597490181919, -79.897768336481 9.38055251329648, -79.912459378371 9.38716303754038))"
Atlantic - West Breakwater Light Outer Anchorage,Anchorage,"POLYGON ((-79.9461913038264 9.37385360986974, -79.9363069114489 9.38011543511073, -79.9207964813869 9.38933575124508, -79.92104368387693 9.39682148458376, -79.92110652806583 9.406327422984852, -79.91608087220932 9.405975084774603, -79.9164253196661 9.39685416838155, -79.9166013064767 9.38900759660405, -79.8999998800864 9.38164125814936, -79.8887191555352 9.38797566689002, -79.88130937829335 9.407937080398856, -79.86824260798947 9.410990289672814, -79.85519550824807 9.408706926005177, -79.8452169043012 9.4079472942158, -79.8283391754586 9.406424127607892, -79.81660921350277 9.424758840556994, -79.80252489226481 9.441646539188488, -79.77840385336336 9.453212367030677, -79.7755149336693 9.623098833711088, -80.1015960647577 9.619798384977324, -80.09798099227649 9.382019423663346, -80.02341025004824 9.322022348182472, -79.99071217876993 9.376030068295789, -79.96324142458482 9.382090945211292, -79.9461913038264 9.37385360986974))"
Atlantic - PPC Cristobal,Berth,"POLYGON ((-79.9181444656382 9.35635510464177, -79.91613050981 9.3559671388694, -79.9150092750952 9.35219736121967, -79.9131960232019 9.35175978217415, -79.9112783663495 9.35119902160644, -79.9086410576836 9.35013823865535, -79.9068836965118 9.34965271933647, -79.9064429755701 9.34851261263983, -79.9027879700905 9.34762577603581, -79.90166050614 9.34894880820358, -79.9041048844278 9.3514914746527, -79.90763372242 9.35185180465601, -79.9053396191603 9.35354331280125, -79.9070091401536 9.35425454798548, -79.9113672139109 9.35508785641205, -79.9181444656382 9.35635510464177))"
Pacific - PPC Balboa,Berth,"POLYGON ((-79.5668766194057 8.9480553901171, -79.5669234644336 8.94778186947742, -79.5674398771201 8.95122253641406, -79.5656513917265 8.9534658308802, -79.5624993977922 8.95746940316286, -79.5663857664011 8.96191114191554, -79.5729335294005 8.96891570928898, -79.5719629833634 8.96525367615943, -79.5714440279063 8.96376286116278, -79.5691147611576 8.961214991344, -79.5661719565435 8.95664951131918, -79.5678639565245 8.95320124110961, -79.5668766194057 8.9480553901171))"
Pacific - PATSA,Berth,"POLYGON ((-79.5712956733319 8.95120525328185, -79.5714754270301 8.95199552915423, -79.5716602943046 8.9527684988821, -79.5721289779486 8.95484395848723, -79.5751510314441 8.95262931188154, -79.5756315508604 8.95165353545467, -79.5746671553392 8.95097998099695, -79.5739134218606 8.95042211309356, -79.5730197941261 8.9498078734309, -79.5712956733319 8.95120525328185))"
Pacific - PSA,Berth,"POLYGON ((-79.5773993446273 8.95258637724477, -79.5767544545793 8.95195087102004, -79.5762275156263 8.95177428954269, -79.5732489043533 8.95416876557817, -79.5720950392601 8.95486314724881, -79.5723305083764 8.95581655798102, -79.5729912776688 8.95738386321851, -79.5735463941808 8.95859804948736, -79.5740836886701 8.9595604166767, -79.5749151112567 8.96103084795356, -79.5754806155534 8.96200530884722, -79.5783800846154 8.96031470726559, -79.5759412439496 8.95559406648429, -79.5773993446273 8.95258637724477))"
Miraflores Waiting Area,Berth,"POLYGON ((-79.6006625040767 9.01062642552837, -79.6021647627682 9.00920161363463, -79.6010108855559 9.00795933557721, -79.5994474624702 9.00646390173647, -79.598136988741 9.00688500091786, -79.5977831659992 9.00791434571999, -79.5989193531739 9.00943508625772, -79.6006625040767 9.01062642552837))"
