StandardVesselType,ShiptypeLevel5
Bulk carrier,Bulk/Oil/Chemical Carrier (CLEANBU)
Bulk carrier,Bulk/Sulphuric Acid Carrier
Bulk carrier,Bulk/Caustic Soda Carrier (CABU)
Bulk carrier,"Bulk Cement Carrier, Inland Waterways"
Bulk carrier,Urea Carrier
Bulk carrier,Refined Sugar Carrier
Bulk carrier,Wood Chips Carrier
Bulk carrier,Powder Carrier
Bulk carrier,Limestone Carrier
Bulk carrier,Bulk/Oil Carrier (OBO)
Bulk carrier,Bulk Carrier (with Vehicle Decks)
Bulk carrier,"Bulk Carrier, Self-discharging, Laker"
Bulk carrier,"Bulk Carrier, Self-discharging"
Bulk carrier,Cement Carrier
Bulk carrier,Ore/Oil Carrier
Bulk carrier,Bulk Carrier
Bulk carrier,Ore Carrier
Bulk carrier,"Bulk Carrier, Laker Only"
Chemical tanker,Latex Tanker
Chemical tanker,"Edible Oil Tanker, Inland Waterways"
Chemical tanker,"Vegetable Oil Tanker, Inland Waterways"
Chemical tanker,"Chemical Tanker, Inland Waterways"
Chemical tanker,"Chemical/Products Tanker, Inland Waterways"
Chemical tanker,Edible Oil Tanker
Chemical tanker,Beer Tanker
Chemical tanker,Molten Sulphur Tanker
Chemical tanker,Vegetable Oil Tanker
Chemical tanker,Wine Tanker
Chemical tanker,Chemical Tanker
Chemical tanker,Chemical/Products Tanker
Container,"Container Ship (Fully Cellular), Inland Waterways"
Container,Container/Ro-Ro Cargo Ship
Container,Container Ship (Fully Cellular/Ro-Ro Facility)
Container,Container Ship (Fully Cellular)
General cargo,"General Cargo Ship, Self-discharging"
General cargo,Open Hatch Cargo Ship
General cargo,Palletised Cargo Ship
General cargo,General Cargo Ship (with Ro-Ro facility)
General cargo,Deck Cargo Ship
General cargo,General Cargo/Tanker
General cargo,"General Cargo/Passenger Ship, Inland Waterways"
General cargo,"General Cargo, Inland Waterways"
General cargo,General Cargo Ship
General cargo,General Cargo/Passenger Ship
Liquified gas tanker,CNG Tanker
Liquified gas tanker,Combination Gas Tanker (LNG/LPG)
Liquified gas tanker,"LPG Tanker, Inland Waterways"
Liquified gas tanker,CO2 Tanker
Liquified gas tanker,LNG Tanker
Liquified gas tanker,LPG Tanker
Liquified gas tanker,LPG/Chemical Tanker
Oil tanker,Coal/Oil Mixture Tanker
Oil tanker,Shuttle Tanker
Oil tanker,Asphalt/Bitumen Tanker
Oil tanker,"Oil Tanker, Inland Waterways"
Oil tanker,Crude Oil Tanker
Oil tanker,Crude/Oil Products Tanker
Oil tanker,Products Tanker
Other liquids tankers,Caprolactam Tanker
Other liquids tankers,Alcohol Tanker
Other liquids tankers,"Water Tanker, Inland Waterways"
Other liquids tankers,"Fruit Juice Carrier, Refrigerated"
Other liquids tankers,Molasses Tanker
Other liquids tankers,Glue Tanker
Other liquids tankers,Tanker (unspecified)
Ferry-pax only,"Passenger Ship, Inland Waterways"
Ferry-pax only,Passenger Ship
Cruise,"Cruise Ship, Inland Waterways"
Cruise,Passenger/Cruise
Ferry-RoPax,Air Cushion Vehicle Passenger
Ferry-RoPax,"Passenger/Ro-Ro Ship (Vehicles/Train), Inland"
Ferry-RoPax,Passenger/Landing Craft
Ferry-RoPax,"Passenger/Ro-Ro Ship (Vehicles), Inland Waterways"
Ferry-RoPax,Passenger/Ro-Ro Ship (Vehicles/Rail)
Ferry-RoPax,Passenger/Ro-Ro Ship (Vehicles)
Ferry-RoPax,Air Cushion Vehicle Passenger/Ro-Ro (Vehicles)
Refrigerated bulk,Refrigerated Cargo Ship 
Refrigerated bulk,Refrigerated Cargo Ship
Ro-Ro,"Ro-Ro Cargo Ship, Inland Waterways"
Ro-Ro,Rail Vehicles Carrier
